ko,figure,gender_real
>이 형님이 빨리 오라고.,형님,1
최고 통치자로서 정조의 정치적 삶 가운데 가장 심대하고도 지속적인 영향을 미친 것은 바로 생부인 사도 세자가 뒤주에 갇혀 사망한 사건인 임오화변이었다.,사도 세자,1
"그는 어떤 시점에 그가 그녀를 사랑하지 않았다는 것, 그리고 조금 이후에는 확실히 사랑했다는 것만을 알 수 있다.",그,1
"마나세 쇼린은 경장 5년(1600) 후양성 천황(15711617)의 병을 치료하여 황실로부터 ""양안원""이라는 호를 하사 받을 정도로 명망 있는 의사였다.",후양성 천황,1
결혼 이후 남자는 자본주의 사회의 부속품이 되어 지친 일상을 반복하며 극심한 인간성의 타락과 자아 고갈을 겪는다.,남자,1
PSS 4점으로 내원한 2명은 모두 일산화탄소 중독 환자였으며 이 중 33세 남성은 심폐소생술 후 일시적으로 자발순환이 되었으나 지속되지 못해 중환자실에 입원하지 못하고 응급실 내 사망하였다.,남성,1
슈퍼 전파자 의혹을 받는 환자는 지난 2일 뉴욕주에서 두 번째 확진 판정을 받고 뉴욕시 맨해튼의 한 병원에서 치료 중인 50대 남성 변호사다.,남성,1
"냉장고(100-1)는 카메라를 통해 촬영된 영상에 기반하여, 8살 남자 어린이가 도어를 열고, 와인(1330)에 손을 가져감을 인식할 수 있다.",남자,1
"이날 오전 부인과 함께 에디슨 박물관을 찾은 버시바우 대사는 축음기와 전구 등 전시물을 살펴본 뒤 ""시간이 짧아 아쉽다.",대사,1
"여기에 애인을 잃은 여자가 찾아오고, 자신을 잃을 뻔한 남자도 찾아온다.",자신,1
"형은 2019년 TV 대하드라마 주인공으로 발탁되었고 온나가타 전문인 AAA는 동년배 인기가수, 배우들과의 친분으로 자주 대중매체에 언급된다.",형,1
그는 존의 동거녀 아들이고 다만 존의 분노에 감염되었거나 혹은 그저 분노를 모방할 따름이다.,아들,1
"이어 빈 살만 왕세자가 이에 동의했고, 조만간 G20 정상회의 소집하겠다고 전했다고 밝혔다.",세자,1
예 런닝맨에 게스트로 나오는데 재석이 형이 만난 적이 없다고.,형,1
"소년에 대하여 무한한 가능성을 열어두고, 비행에 쉽게 노출되고 물들 수 있이지만 그만큼 회복과 교정도 빠르다는 것이다.",소년,1
"나는 AAA1, 너는 Mr. AAA2 맞지?",Mr. AAA2,1
"22일 일본 언론 보도에 따르면, 요코하마(횡빈) 시에 사는 60대 남성이 광견병 증세를 일으켜 생명이 위독하다고 후생노동성이 발표했다.",남성,1
"증례로 특이 병력 없던 29세 남자가 목욕탕 앞에서 살려 달라고 고함 지르는 모습으로 119에 신고되었고, 침 흘리며 횡설수설하는 모습 지속되어 응급실에 왔다.",남자,1
"아이바는 앞 장면에서, 데이지의 아들이고, 에릭은 아이바가 노인이 된 자기 어머니 데이지를 돌보라고 고용한 도우미 일을 한다.",아이바,1
그렇다면 의상계에서 모든 가르침과 배움은 단지나 자신이 부처임을 아는 것이다.,자신,1
형 아니 근데 왜 갑자기 혼자 뛰어가서 할아버지 뜯긴 거예요.,할아버지,1
박 박사는 특히 남편에게서 증세가 나타나기 시작한 하와이 오아후섬에서 이 남성의 행적을 추적 중이라고 덧붙였다.,남편,1
5세 아동의 생명의 존엄성과 70세 할아버지 생명의 존엄성이 다르지 않다고 생각한다.,할아버지,1
"관객들은 '축하해요!', '아들이에요 딸이에요?', '정말 행복하시겠어요', 같은 말을 소리친다.",아들,1
헤롯왕은 화려한 취향을 갖고 있었으며 오랜 통치 기간에 유대 땅 전역에 거대한 건축물을 지은 것으로 알려져 있다.,왕,1
"제1장 자유 평등으로의 길에서는 '널리 인간을 이롭게/단군', '악법도 법이다/소크라테스', '원수를 사랑하라/예수', '양심은 누구에게 맡길 수 없다/마르틴 루터', '자유 아니면 죽음을 달라/패트릭 헨리', '네 가지 자유/프랭클린 루스벨트 대통령' 등의 연설을 실었다.",예수,1
세관은 나치 시절 유명 미술품 거래상이었던 아버지 AAA1의 아들인 AAA2의 탈세 혐의 등을 조사하는 과정에서 지난해 2월 이들 작품을 발견했는데 당국은 당시 AAA2를 심문한 뒤 기소하지 않고 풀어줬다.,아들,1
유엔대사를 사칭해 해외 보관 중인 거액 달러를 국내로 들여오는 데 수수료가 필요하다며 2억 원이 넘는 돈을 가로챈 80대 남성이 실형을 선고받았다.,남성,1
"AAA 1의 경우 아들의 대필화로 밀려드는 그림의 수요를 감당했다고 하는데, AAA 2는 AAA 1의 그림을 특히 좋아하여 그의 작품을 많이 소장하였다.",아들,1
이바라키 현과 야마나시 현에서는 각각 80대 여성과 60대 남성이 쓰러진 채 발견됐으며 모두 의식이 없는 상태라고 아사히 신문은 전했다.,남성,1
"음악적인 가정에서 태어난""웨버""는 어렸을때부터 작곡에 남다른 재능을 보여 8세때부터 뮤지컬을 작곡하기 시작했다．그의 아버지 ""윌리엄""은 유명한 오르가니스트이자 피아니스트로 18년동안 ""런던""음악대학 학장으로 재직한 이나라지도적인 음악가였고 어머니 또한 재능있는 피아니스트였다.",아버지,1
극중 아버지는 그럼에도 불구하고 화를 내지 말자는 모습을 보인다.,아버지,1
그 후 상진왕은 대리 왕자를 대장으로 하여 구미도의 신녀인 기미하에(군남풍)와 함께 정예 부대 3000명과 병선을 보내 진압하였다.,대리 왕자,1
"이를 위하여 석가모니를 대신할 스투파의 건립을 주문했던 것이고, 이것이 점차 불상에 대한 공양으로 옮겨가게 되었던 것이다.",석가모니,1
앞서 언급한 AAA는 친구의 소개로 만난 필리핀 남성과 온라인으로 관계를 이어오다 2017년에 필리핀에서 결혼식을 하고 다시 이스라엘로 돌아와 돌봄 노동을 지속하고 있다.,남성,1
2004년 즉위한 시아모니 왕은 1981~2000년 프랑스에서 발레와 클래식 크메르 댄스를 가르치는 등 성년기의 많은 시기를 프랑스에서 보냈다.,왕,1
">아빠의 도전이다, 세 번째.",아빠,1
"아내가 자기 자신과 자기의 남편에 대한 예약을 완료하는 경우, 아내와 남편은 남편이 단체 여행 부킹 서비스에 액세스하지 않는 경우에도 모두 여행자이다.",남편,1
"오바마는 수년간 금연을 위해 노력하고 있다고 말해 왔으며, 미셸 여사는 2011년 남편이 마침내 금연에 성공했다고 밝힌 바 있다.",남편,1
"조옥희가 박용석을 좋아하면서도 그를 거부하는 이유는 자신이 애 딸린 과부이고, 박용석은 총각이었기 때문이다.",박용석,1
AAA 행정부의 이런 입장은 최근 라이베리아에서 의료 지원 활동을 벌이던 40대 중반 남성이 미국으로 돌아온 뒤에야 에볼라 감염 확진 환자로 판정나면서 나온 것이다.,남성,1
원고 측에서는 감정에게 종량을 허락하지 않는다는 고조부 '안돈후의 유서'를 증거로 제출하였다.,고조부,1
복식부기에 대한 내용은 처음으로 출판된 것으로 파치올리는 수학자임에도 불구하고 ‘회계학의 아버지’로 여겨지고 있다.,아버지,1
인도인 부친과 아일랜드인 모친 사이에서 태어난 AAA 총리는 2015년 아일랜드의 동성 결혼 합법화 국민 투표를 앞두고 자신이 동성애자임을 밝힌 바 있다.,부친,1
"그는 ""다른 모든 부모들에게 아이들과 많이 소통하고 생각을 넓힐 수 있도록 도우라고 조언하고 싶다""며 ""아들에게는 포기하지 말라는 조언을 항상 한다""고 밝혔다.",아들,1
"미국 인기 여성 래퍼 리조는 BTS와 함께 공연을 즐기는 모습을 인스타그램에 올리면서 ""나와 내 절친들""이라고 소개했다.",리조,1
예 씨가 인터넷 구매를 하지 못하게 되면 아내가 더 많은 돈을 쓸 수 있다.,예,1
"현지 경찰은 이 사고로 에마누엘은 중상을 입었고 아내 발레리아 카르모나와 각각 2살, 8개월 된 두 아들은 급히 병원으로 옮겨졌으나 사망했다고 전했다.",아들,1
알베르 2세는 이날 TV와 라디오를 통한 대국민연설에서 벨기에 독립기념일인 오는 21일 왕위에서 물러나고 필립(53) 왕세자에게 양위할 것이라고 밝혔다.,왕세자,1
"그는 버려진 디오니소스를 키운 신화 속 인물의 후신답게, 디오니소스를 임신한 채 갈 곳 몰라 떠도는 여인을 아내로 맞이한 남자이다.",디오니소스,1
"남성 중심의 캠핑 문화를 지양하고, 가족 캠핑에서 성 역할을 규정하는 것에 비판적 시각을 가지고 있다.",남성,1
"AAA1 국왕의 아들이자 국가수비대 장관인 AAA2 왕자는 ""메르스에 대한 소문이 근거 없다는 것을 증명하기 위해 아버지가 제다를 방문했다""고 말했다.",왕자,1
"그가 '교육학의 아버지'라고 명명되는 이상, 그 특별한 이유는 '교육의 실천'과의 관련 속에서 탐색해야만 할 것이다.",그,1
냉철한 판단력도 남성 중심의 독일 정치판에서 그가 버텨낸 힘이다.,남성,1
"경찰관 AAA 1이 따라가서 AAA 2의 앞을 경찰봉으로 가로막고, 검문에 응할 것을 요구하였으나 AAA 2는 자전거에서 내려 AAA 1의 멱살을 잡아 밀치고, ""이 XX 놈아, 나이도 어린놈이 육군 대위 출신을 몰라보고 검문이냐”라고 욕설을 하였다.",AAA 2,1
참여자 C는 좋은 무용수가 되기 위해 항상 도를 닦는 마음으로 연습했다고 말했다.,참여자,1
"100만 번째 입장객은 채핀에 거주하는 크레이그 숀이라는 남성으로 숀은 스프링필드시를 상징하는 기념 열쇠와 2번째 임기를 시작하는 블라고야비치 주지사의 취임식 입장권 2매, 그리고 박물관 기념품 센터의 선물 바구니 등을 받았다.",남성,1
WSJ은 그러나 펠리페 6세가 왕세자 시절 오페라 극장에서 야유를 당하거나 기업인들에게 악수를 거부당하는 수모를 겪으면서도 카탈루냐 지역을 여러차례 방문한 사실을 언급하며 그의 이런 노력을 인정하는 움직임도 있다고 전했다.,왕세자,1
"더 충격적인 것은 이 남자아이는 자신의 아버지로 추정되는 한 남자 어른과 같이 있었는데, 어른은 그 남자아이가 나에게 하는 행동을 말리지도 않고 그저 바라만 보고 있었다는 것이다.",남자,1
"파라과이 공공사업통신부는 통상적인 '난개발' 방식으로 도시를 조성하려 했으나 NGO 출신의 30대 여성인 주택청 장관이 ""이제는 좀 제대로 하자""며 강력하게 제동을 걸어 정책이 변경됐다고 한다.",장관,1
그런데 저는 아들 딸과 달걀 만들기와 숨기기 놀이를 하는 대신 인형은 안사주기로 했습니다.,아들,1
하트셉수트는 이복 형제인 투트모세 2세의 왕비로 있다가 그의 사망 후 투트모세 3세의 섭정으로 지배 권력을 행사하면서 최고 통치자인 파라오로 등극해 군림했다.,투트모세 3세,1
"원경하의 ""창하집"" 초간본 아들 원인손이 전라도 관찰사로 재직 중이던 1767년경 간행했다.",아들,1
"선조(1569년)가 경연에서 ""전등신화""에 대해 언급한 바 있으며, 효종이 봉림대군 시절, 스승 심광수(1598～1662)에게 ""전등신화""의 구절에 대해 묻는 내용이 있다.",봉림대군,1
"자신과 여자 친구에게 쏟아지는 비판을 두고 못 배우고, 잘 알지 못하며 사악하고 편협한 주장이라고 반박한 그는 ""사냥꾼으로서 사과·변명하지도 않고 숨지도 않겠다""고 반발했다.",그,1
중국 측 실무 참여자인 AAA1과 그의 부인인 AAA2가 공동 필명으로 사용 한 '연정'의 회고록과 연구가 있다.,AAA1,1
>광수 형이랑 저랑 한번 여기서.,광수,1
"즉 그의 아들 3형제는 대한제국 시기와 일제 강점기 군수 등 지방관을 역임했고, 계몽 운동에도 참여했다.",아들,1
"그가 장소값과 0에 관한 책을 쓰고 있을 무렵, 그녀는 인도의 위치 표기법에 대해 가장 최초로 알려진 서양식 설명을 발표했다.",그,1
이 과정에서 소년은 자신의 행위에 대한 피해를 회복하고 책임을 지는 법을 배우게 된다.,자신,1
>남편분한테 배운 거예요?,남편,1
노르웨이 베스트폴주 홀메스트란에 거주하는 AAA(37·여) 씨는 최근 남편과 함께 인도 뉴델리 시내에 위치한 BBB의 불임센터를 방문했다.,남편,1
"교토통신은 효고현에서 유리창을 보강하던 70대 남성이 사망했고, 야마구치현의 한 고등학교에서 축구 골대가 쓰러지면서 부상자가 나왔다고 보도했다.",남성,1
초 공자 위는 장차 임금을 시해하고 자신이 왕이 되고자 하는 야심이 있어서 왕자 흑굉과 태재를 변방에 나가 성을 쌓게 하고서 자신은 내부에서 일을 진행하려고 했다.,왕,1
"비불루스는 클로디우스의 형제 아피우스의 소환을 받고 참석한 콘티오에 나가서는, 클로디우스는 점술을 어기고 신분 변동을 이루었으므로 호민관이 아니라고 답하였다.",형제,1
나가 위의 붓다 도상은 붓다가 똬리를 튼 뱀의 몸통 위에 앉은 채로 머리 뒤로는 뱀의 머리 7개를 광배처럼 갖고 있는 모습을 지칭한다.,붓다,1
"집밖에 전혀 출입을 못하던 AAA의 여자 친구와 그의 아들, 20대 조카 2명은 AAA의 확진 판정 후 나흘이 지난 3일, 소방차와 폐기물 차량이 아파트를 '대청소'한 뒤에야 가택 연금에서 풀려났다.",AAA,1
보도에 따르면 지난달 30일 오후 5시 40분께 샌버너디노 카운티 팜데일로드 빅터빌 갤러리아 쇼핑몰에 있는 남성의류 매장 '익스트림 맨스웨어'에 20대 남성이 침입해 한인 여성 업주 홍종숙씨를 흉기로 찔러 숨지게 했다.,남성,1
"그는 아테나의 비호를 받으며 아테네로 입성했다고 하는 이미지를 형성하고자 했으며, 이러한 행동은 페이시스트라토스가 자신을 아테나 여신의 수양아들, 즉 에렉크테오스와 동일시하고자 했었던 것으로 보인다.",아들,1
72세 남자가 애성 증상이 있어 수 개월간 경구 약제를 복용하며 경과 관찰하였으나 증상 호전이 없었다.,남자,1
배우출신이었던 페론 전대통령의 부인 에바 '에비타' 두아르테는 아르헨티나 빈민의 우상이었으며 남편이 현직에 있던 52년 사망했는데그녀의 묘는 페론 정권이 군사 쿠데타로 무너진후 훼손당해 시신이 수년간 이탈리아에 보관되기도 했다.,전대통령,1
막내 아들이 아직 대학생이고 남편이 실직 상태여서 자신이 돈을 벌지 않으면 생계가 막막한 상황이었다.,아들,1
모찌가 전 아내와의 사이에서 낳은 2살배기 아들이 들러리를 섰다.,모찌,1
왜인지 흥부 부인과 자녀들은 놀부인 걸 알아채지 못하는데 그 이유는!,흥부,1
주인공은 실종된 아버지를 찾기 위해 우주를 가로지르는 기상천외한 모험을 시작합니다.,아버지,1
이에 이 글은 효명세자의 생의 흔적과 그의 문화예술 활동이 무엇인지를 살펴보았다.,효명세자,1
사회적으로 그 지위를 인정받는 ‘청소년 한부모 가족’ 모델에 주목하고자 한다.,소년,1
AAA 1은 명성황후의 사촌 오빠인 AAA 2의 아들로 AAA 3에게서 글씨를 배운 부친과 숙부 AAA 4의 가학을 이어 15세 무렵 서화가로 이름을 알리기 시작하였다.,숙부,1
"그렇지만 그는 ""남편과 함께 한 시간 자체가 예술이었기 때문에 후회하지 않는다""고 말했다.",남편,1
"AAA1은 다른 29명의 지도자와 함께 체포됐으며, AAA1과 그의 형제 AAA2와 그의 사촌 AAA3은 1947년 3월 31일에 슈바르 카라 광장에서 교수형 당했다.",AAA2,1
"정확한 출생년도를 기억 못하는 그는 이제 30세 즈음이 되어 알리시아 키스, 피터 가브리엘 등 유명 가수와 공연하는 음악인으로 성공했지만, 13세 무렵까지는 끔찍한 전쟁의 참상과 친구들의 죽음을 지켜봐야만 했던 소년병이었다.",소년,1
"첫 번째 증례는 43세 남자로 형제로부터 동종 조혈모세포 이식을 받았고, 두 번째는 70세여자로 아들로부터 사람 백혈구 항원 반일치 조혈모세포 이식을 받았다.",아들,1
1990년대 초부터 지구 온난화 등 기후변화 문제에 목소리를 높여왔던 찰스 왕세자는 그의 신념으로 인해 여러 차례 비판을 받기도 했다.,찰스,1
알겠습니다. 제 아들한테 청구서를 처리하라고 할게요.,아들,1
저는 이번에 제 아내와 동행합니다.,저,1
"후쿠다 총리와 부인 기요코 여사는 이날 3박4일간의 방중 마지막 일정으로 유네스코가 세계유산으로 지정한 공자묘에 도착, 공자 동상 앞에서 절을 했다.",후쿠다,1
>오빠 미안해요.,오빠,1
"본 증례 보고의 경우에서는 한 명은 형제를 통해서, 그리고 다른 한 명은 자녀를 통해 조혈모세포 이식을 받았기 때문에 조혈모세포 이식의 공여자와 같은 사람으로부터 대변을 이식받을 수 있었다.",형제,1
추가 확진자는 40대 남성과 80대 여성으로 뉴욕시 맨해튼과 브루클린의 병원에서 격리돼 치료를 받는 것으로 전해졌다.,남성,1
"아니, 승기 형이 아니나 다를까 옆에서 너무 힘들어하고 계시는 거예요.",승기,1
미국 버지니아 주 랭리에 있는 미 중앙정보국의 사설 박물관에 새로 전시된 작품 중에는 아버지가 세 살배기 아들에게 보낸 이런 내용의 편지가 있다.,아들,1
"이 드레스는 엘리자베스 2세가 1947년 필립공과 결혼할 때 입었던 것으로, 여왕 전속 의상 관리인인 앤절라 켈리와 엘리자베스 2세가 좋아하는 디자이너인 스튜어트 파빈이 수선했다.",필립공,1
재판의 진행을 보면서 아들 그룰의 탈영 이야기에 왜 아버지를 연루시켜야 하는지가 드러난다.,아들,1
"그리고 최종적으로는 입법을 통한 방식으로 접근하는 것이 보다 필요할 것으로 생각하는데, 그 이유는 현재까지 법원에 의한 사법적 해결은 개별적·구체적 판단에 의존하는 방식이라 사전에 시장 참여자의 예측가능성을 담보하기에는 상당한 무리가 따르기 때문이다.",참여자,1
">형, 원래 이런 거 많이 생각하시면 안 돼요.",형,1
>수근이 형이랑 자주 치고 내가 알고.,수근이,1
할머니는 암을 이겨내고 삶으로 돌아왔지만 비슷한 시기 암에 걸렸던 남편은 먼저 세상을 떠나고 말았다.,남편,1
"가족 중 아버지와 여동생이 우울증 병력이 있었고, 친할머니와 외삼촌이 뇌졸중 병력을 가지고 있었다.",아버지,1
"러시아 제2도시 상트페테르부르크의 마린스키 극장에서 6일 공연된 'FFF'에서 주역인 'AAA1'역을 훌륭하게 연기해 ""최고의 연기""라는 찬사를 받은 한국인 발레리노 AAA2씨(20)는 ""관객들의 반응이 기대 이상으로 뜨거워 아주 만족스럽다""고 소감을 밝혔다.",발레리노,1
">기회를 한 번만 더 주시면 안 돼요, 아저씨.",아저씨,1
그녀 앞에 나타난 하얀 가면의 팬텀이 크리스틴을 유혹하여 무섭기도 한 극장의 지하의 미로로 납치하기 시작한다.,팬텀,1
여성이 된 올란도는 이름을 이사도라로 바꾸고 어느 멋진 남자를 만나 결혼을 하게 되었고 행복하게 사는 듯했다.,남자,1
45세 남자가 자택에서 FFF 10정을 음독 후 목을 매려다가 가족에게 발견된 후 응급실에 왔다.,남자,1
">저는 진짜 형, 저는 진짜 안 꺾고 3번 가겠습니다.",형,1
AAA는 아버지가 사망한 뒤 이 악보를 경매장에서 팔았는데 당시 낙찰가는 밝혀지지 않았으나 현재 이 악보의 판매가는 6만5천 달러에 달한다.,아버지,1
>이거 하러 온 거야 형.,형,1
제한설은 처가 남편의 자를 임신할 수 없는 이유가 있는 때에는 친생자 추정의 효력을 제한하는 견해이다.,남편,1
사다 놓은 갈비찜이 생각나 주인 아저씨에게 몸짓으로 사고 싶다고 말하니 다섯 개를 뽑아 물에 씻어줬다.,아저씨,1
큰 병원에 가서 이제 아버지 귀가 왜 안 들리는지 검사를 쫙 받게 하고 그리고 아버지는 이제 수술을 받으셨고 인공와우를 장착해서 아버지는 소리를 듣게 되신 거예요.,아버지,1
그는 이날 인터뷰에서 자신과 부인의 운영하는 미술관이 있는 중국 상하이로 이 작품을 가져오겠다는 뜻을 밝혔다.,자신,1
>10년 동안 제가 그렇게 정장 하나 사자 사자 해도 한 번을 안 사서 제가 오늘 재근 오빠한테 또 SOS를.,재근,1
담보물은 나중에 다말이 시아버지인 유다가 자신이 행음하였음을 이유로 불사르려고 할 때 유다가 그 상대였음을 증명하는 증거물로 작용하였다.,시아버지,1
"100만 번째 입장객은 채핀에 거주하는 크레이그 숀이라는 남성으로 숀은 스프링필드시를 상징하는 기념 열쇠와 2번째 임기를 시작하는 블라고야비치 주지사의 취임식 입장권 2매, 그리고 박물관 기념품 센터의 선물 바구니 등을 받았다.",입장객,1
제1대 타짜협회장 지석진과 그를 몰아내고 2대 협회장이 된 유재석.,타짜협회장,1
"러시아 국적의 고려인 AAA 군은 ""내 손으로 기계를 이용해 접시를 만들었는데도 믿기지 않을 정도로 신기하게 느껴졌다""면서 ""이곳 주민들의 살림에도 보탬이 되고 환경 보호에도 기여한다니 사업이 잘됐으면 좋겠다""고 말했다.",AAA,1
AAA는 남한에 들어온 후 남편의 탈북을 도왔던 사람이 바로 시숙부라는 사실을 알게 되었다.,AAA,1
“고민해 보았지만 불확실한 미래를 감당할 자신이 없다”라고 말하며 남자 친구와 함께 그의 고향인 필리핀 세부로 돌아갔다.,남자,1
>저는 종국 오빠요.,종국,1
세관은 나치 시절 유명 미술품 거래상이었던 아버지 AAA1의 아들인 AAA2의 탈세 혐의 등을 조사하는 과정에서 지난해 2월 이들 작품을 발견했는데 당국은 당시 AAA2를 심문한 뒤 기소하지 않고 풀어줬다.,아버지,1
"신문은 ""1296년 설립된 세계 최고의 빈소년합창단 단원 가운데 박신이라는 이름의 한국인이 있다""면서 ""그는 이 시대 가장 어린 오페라 가수""라고 평가했다.",소년,1
"기네스북에 세계 최고령 남자로 등재된 AAA는 이날 자택에서 기자들의 취재에 ""모든 사람들과 얘기를 하는 것이 가장 큰 즐거움으로 아직 10년 정도는 더 살고 싶다""며 노익장을 과시했다.",남자,1
이러한 시각은 소년을 자신이 저지른 범죄에 대한 책임을 부담하는 능동적인 존재로 인식하기 위한 전제조건이기도 하다.,자신,1
"확장형 심근증으로 보조 인공 심장을 부착해야 했던 50대 남성 환자는 BBB에 등록, 심장 이식을 기다리고 있었다.",남성,1
