ko,figure,gender_real
"감사합니다, 그리고 형의 질문에 대한 답변을 빨리 해주셨으면 좋겠습니다.",형,1
오빠가 주문했던 제품의 배송이 딜리에되어 당사가 많은 손실을 입었습니다.,오빠,1
그는 자신의 부인이자 정치적 동반자였으며 자신의 혁명을 완성하는 데 중요한 역할을 했던 크룹스카야에게 이견을 표했다.,그,1
지하수를 마시기 전에 아저씨는 물 속에 있는 비소를 안전하게 제거해야 한다.,아저씨,1
"그러면, 남자는 자신의 한정된 자원을 자신과 유전적 관련이 없는 자식에게 투자해야 하는 위험에 처한다.",자신,1
또한 에이전트 중 한 명과 연결하여 아저씨에게 가장 적합한 이동식 주택 유형에 대해 논의할 수도 있습니다.,아저씨,1
"저희 때는 아저씨가 특성화고에 진학하면, 특성화고를 대상으로 하는 특별전형을 기대할 수 있다.",아저씨,1
형의 웹사이트의 독특한 로고를 갖고 싶어서 좋은 디자이너를 찾고 있습니다.,형,1
"AAA씨, 이 모든 요구 사항들이 아저씨에게 괜찮습니까?",아저씨,1
그는 딸이 바이올린을 잡은 이래 단 하루도 손에서 바이올린을 놓게 한 적이 없는 엄한 아버지였다.,아버지,1
인터넷 커뮤니티 사이트에서 아저씨의 브랜드가 매우 인기가 좋더군요.,아저씨,1
아저씨는 우리 행동의 중대함을 알게 될 것입니다.,아저씨,1
가정에서 연주되는 피아노 음악은 바깥 일이 힘든 남편의 편안한 휴식과 자녀들의 심신의 안정을 위해 상류 사회의 지성과 미모를 갖춘 어머니가 하는 일이라는 이미지를 만들어 내고 있었다.,남편,1
형이 이런 말 한다고 오해는 마십시요.,형,1
아저씨의 상담 서비스에 대한 견적을 문의드립니다.,아저씨,1
왕은 직접 혹은 사람을 보내어 강제로 그에게 법을 집행하지 아니한다.,왕,1
아저씨는 순수한 황산에 물을 첨가함으로써 실험자에게 재앙을 초래할 수 있다.,아저씨,1
오빠가 메일로 계약서를 보내드리도록 하겠습니다.,오빠,1
"미국 텍사스 휴스턴 메디컬센터에서 잠시 근무할 때, 길을 지나가다 간간히 마주치던 30대 중후반쯤으로 보이는 미국 남자가 한 명 있었다.",남자,1
궁지에 몰린 AAA 1 총리는 최근 남동생의 부인인 AAA 2 변호사가 아버지의 유언장 작성 과정에 개입했다.,남동생,1
"곧 남은진이 처음 남역 배우가 된 계기, 훈련의 과정, 여성에서 남성 인물로 분장을 하는 과정과 춘향전의 일부 장면 재연을 보여주었다.",남역 배우,1
나는 또한 미래에 아저씨와 함께 일하기를 고대하고 있습니다.,아저씨,1
본고에서는 삼신삼세불 보다 모두 통용될 수 있는 삼불이라는 명칭으로 설정하고 자한다.,삼불,1
아내가 평소 가정폭력을 일삼던 남편의 폭력에 저항하다.,남편,1
"파라과이 공공사업통신부는 통상적인 '난개발' 방식으로 도시를 조성하려 했으나 NGO 출신의 30대 여성인 주택청 장관이 ""이제는 좀 제대로 하자""며 강력하게 제동을 걸어 정책이 변경됐다고 한다.",장관,1
알려주신 사이트에서 형의 정보를 입력하면 모든 운전자 보험의 보험료가 비교가 가능한가요?,형,1
아저씨의 프로젝트를 도울 수 있어서 매우 기쁩니다.,아저씨,1
아저씨의 제품에 대해 문의하고 싶습니다,아저씨,1
AAA 행정부의 이런 입장은 최근 라이베리아에서 의료 지원 활동을 벌이던 40대 중반 남성이 미국으로 돌아온 뒤에야 에볼라 감염 확진 환자로 판정나면서 나온 것이다.,남성,1
"AAA 1 목사의 아들인 AAA 2는 생전에 오웬기념각에서 열린 가극 ""열세집""을 두고두고 칭찬하곤 했다고 한다.",아들,1
아저씨의 양로원 요금이 얼마인지 궁금해서요.,아저씨,1
첫째 왕자와 둘째 왕자를 비롯한 많은 사람들이 겉모습을 볼 때 그 이면을 꿰뚫어 보는 한 사람이 있었으니 셋째 왕자가 바로 그다.,그,1
"일곱 살 때부터 아버지 AAA 1, 조부 AAA 2를 따라 모고사무 공연을 배우면서 서당에서 공부를 하였다.",조부,1
아들인 AAA 명의로 신분상승하고 입안을 받는 것은 법에 어긋난 것이다.,아들,1
잠시 만요 오빠가 한번 확인해보겠습니다.,오빠,1
급기야 현대전자의 경우 연구원 부인들이 사장 앞으로 남편을 가정으로 돌려 달라 탄원서를 내기에 이르렀다.,남편,1
"그러한 '영용성'을 표현하기 위해 이 작품에서는 ""그 이름 찬란히 빛나네"", ""마음을 조국에 다 바친 오빠""와 같은 시줄에서 보이는 바 '찬란히', '다'와 같은 최상급 상태의 꾸밈말을 효과적으로 쓰고 있다.",오빠,1
아저씨가 어느 방향에서 접근하느냐에 따라 극한 값이 서로 다르다.,아저씨,1
"다른 방법이 그것이 평면 기하학이라고 말하는 것이라면, 아저씨는 이것을 믿겠는가?",아저씨,1
무용가의 구술 채록은 그가 안무하고 춤추고 교육하는 방식을 남성의 목소리로 남겨서 그의 예술정신이 후대까지 전달될 수 있도록 자료로 남기는 것을 1차 목적으로 한다.,남성,1
"탄 박사는 또 파바로티가 이날 너무 힘이들어 처음 아리아 2곡을 부른뒤 나머지 공연을 거의 취소하려하자 `아저씨가 계속하지 않으면 내가 일자리를 잃게 된다""면서 그의 원기를 크게 북돋아 주었다고.",아저씨,1
오빠가 오늘 소개드릴 제품은 순대라는 것인데 들어 본적이 있으신가요?,오빠,1
형이 또 얼마나 서포트를 했는지.,형,1
"형으로서, 그는 피아노 연주와 성악에 뛰어난 실력을 가지고 있었다.",형,1
귀하께서 한반도 중에서도 왜 이곳을 선택하셔야 하는지 형이 그 이유를 설명해 드리도록 하겠습니다.,형,1
아저씨가 윌러 애비뉴와 메인 스트리스 모퉁이에 있는 건무르이 소유자라는 것을 알게 되었습니다.,아저씨,1
오빠의 이메일이 유익한 정보가 되었기를 바라며 추후 고려해 주셨으면 합니다.,오빠,1
저는 아저씨가 추천한 세 아파트 모두를 살펴봤습니다.,아저씨,1
"아저씨의 배려에 감사드리며, 저희에게 주저하지 마시고 무엇이든 물어보세요.",아저씨,1
● 그럼 왜 지금에서야 자신이 게이라는 사실을 공개했나요?이 질문에 대해 많은 추측이 나오고 있다.,자신,1
그렇지만 환자 남성이 신상에 관하여 스스로 결정을 내릴 수 없는 상태에 있는 경우에는 환자의 건강 및 안전을 위하여 후견인 등 타인이 이를 대신하여 결정할 수 있어야 한다.,남성,1
아저씨의 관점에서 볼 때 적절한 콘텐츠 생성 없이 지속해도 괜찮습니까?,아저씨,1
오늘 오후에 형이 시간이 괜찮아요.,형,1
제 아들이 6살인데 아빠가 나오는 우주선이 진짜인 줄 알고 우주에 갔을 때 어땠냐고.,아빠,1
헝가리 국민배우인 그녀는 FFF1 등 AAA 원작 연극 7편에서 주연을 맡았고 FFF2 등 그의 원작 3편을 연출했다.,그,1
아저씨가 한 말의 일부분을 의심 할 여지를 주어 오히려 그 말 전체를 의심하게 할 수 있기 때문이다.,아저씨,1
"아저씨의 진심에 감동을 받았지만, 우리 고객님들로부터 어떤 선물도 받을 수 없습니다.",아저씨,1
형의 웹사이트의 페이지 수는 얼마나 되죠?,형,1
나는 아저씨에게 사회적으로나 통계학적으로 중요한 한 연구 결과의 기초를 간단히 소개할 것이다.,아저씨,1
"가치 의식 측정은 ""아저씨는 사과를 얼마나 좋아하십니까""와 같은 선호도 조사와는 그 성격이 다르다.",아저씨,1
전에 경차로 픽업 부탁드렸었는데 동료와 형이 타야해서 승용차나 SUV로 픽업 하셔야 할 것 같습니다.,형,1
저는 BBB의 최고재무책임자인 AAA입니다. 형의 연락처는 아래에서 확인하실 수 있습니다.,AAA,1
아저씨가 주문한 가방을 볼 수 있을까요?,아저씨,1
"그러죠, 그리고 오빠의 예술에 관심을 가져주셔서 감사합니다!",오빠,1
오빠가 찾는 도서는 FFF인데 시리즈의 3권을 찾고 있습니다.,오빠,1
발달장애인의 주 돌봄자인 아버지는 배우자와 비장애인 자녀와 생활하는 사람이어야 한다.,아버지,1
"그것은 단지 이 물리 과정의 나머지 기간, 시험 기간, 다른 과학 수업에서뿐만 아니라, 아저씨의 전체 경력 전체에도 유용할 것이다.",아저씨,1
아저씨는 그 음파 뿐만 아니라 나무 사이를 날며 짹짹거리는 새소리도 함께 듣는다.,아저씨,1
아뇨 형이 홈페이지를 통해서 직접 예약하도록 하겠습니다.,형,1
아저씨의 라디오 방송국에 싣는 광고 가격에 대해 문의하고자 글을 씁니다.,아저씨,1
왕의 남자가 햄릿을 모티프로 했다는 것은 잘 알려진 사실이다.,왕,1
"증례로 특이 병력 없는 39세 남자가 수일 전 화상으로 지역 병원에 입원하던 중 필로폰 투약이 발견되어 경찰서 유치장에 있던 중 기력 저하, 어지러움증이 있어 응급실에 왔다.",남자,1
뮤추얼 펀드 사례에서 아저씨는 팀의 실적이 오른 데서 로라의 실적에 대해 뭔가 알 수 있다고 착각하지는 않을 것이다.,아저씨,1
아버지는 고객을 접대할 때 때때로 헨리가 그의 성적행위라는 취지에서 이 부분을 소개하고자 한다.,그,1
가운데 어둠에 잠겨 아버지가 느꼈을 고독이 관객에게 감지된다.,아버지,1
"주 52시간상한제 시행을 전후로 본인과 배우자의 노동시간이 어떻게 변화하였는지를 주로 살펴보았으며, 특히 여성의 노동공급이 남편의 주 52시간 상한제 적용에 따라 어떻게 달라졌는지를 중점적으로 살펴보았다.",남편,1
아저씨께서 주문해주신 건은 취소될 예정입니다.,아저씨,1
"그는 ""(검증은) 도덕성이든, 자질이든, 정책이든 상관없으며 그것이 형이 바라는 것""이라며 ""지도자를 뽑을 때는 모든 면을 다 검증해야 한다""고 밝혔다.",그,1
>이러면 혁이 형 이긴 거야.,형,1
AAA는 현재 사위가 보내는 송금에 의존해 생활하고 있다.,사위,1
"그리고 나는 아저씨의 주문에 대한 인쇄, 처리, 배송 비용을 낮출 수 있습니다.",아저씨,1
늦은 밤 운동이 끝난 후 생각나는 맥주 한 잔을 뒤로 하고 묵묵히 단백질 쉐이크를 타 드신 아저씨.,아저씨,1
아내가 남편의 동의를 얻어 다른 남성의 정자를 기증받아 아이를 낳았다면 남편이 아기의 아버지가 되며 그는 이를 거부할 수 없다고 규정했다.,남편,1
아저씨는 우리 부동산에 우수한 임차인을 데려오는 데 필요한 기간에 대해 질문했습니다.,아저씨,1
"현지 경찰은 이 사고로 에마누엘은 중상을 입었고 아내 발레리아 카르모나와 각각 2살, 8개월 된 두 아들은 급히 병원으로 옮겨졌으나 사망했다고 전했다.",아들,1
"사도세자의 신원을 위해 평생토록 노력을 경주하던 정조의 입장에서는 채제공이 보여주었던 사도세자에 대한 의리는 매우 감동적인 것이었으며, 채제공 역시 정조의 의도에 부응하여 충심을 다해 보좌했던 것이다.",세자,1
AAA1의 아버지인 AAA2는 아들이 힘겨운 항암치료에서 벗어나도록 자그마한 카드에 수채 그림 물감을 사용해 그림을 그리도록 권유했다.,AAA2,1
"폴 카가메 르완다 대통령은 부인, 다른 고위인사들과 함께 수도 키갈리 대학살 기념관에서 헌화하고 점화했다.",대통령,1
덴동어미는 하층민으로 몰락하고 남편을 네 번이나 잃고 아이까지 장애를 입었다.,남편,1
아저씨의 BBB 매장에서 새로 발명된 가전제품을 판매한다고 들었습니까?,아저씨,1
"그에 따르면, 아저씨의 수제 의복은 합법이었습니다.",아저씨,1
그에 따르면 아저씨가 만드는 스포츠 용품은 한국에서 유명합니다.,아저씨,1
자신의 업적이 대부분 성미 급한 아버지의 공로가 되는 복잡한 관계는 그에게 엄청난 비참함을 안겨줬다.,아버지,1
"고객님, 형이 카운터로 안내해 드릴 테니 저를 따라오세요.",형,1
아저씨는 당장은 음악을 들음으로써 붙잡혀 있다는 느낌에서 탈출할 수는 있겠지만 음악을 이용해 물리적으로 그 방을 벗어날 수는 없다.,아저씨,1
오빠의 발표의 내용을 포함하여 오빠가 정리한 회의록 첨부해서 보내드립니다.,오빠,1
아저씨의 신실한 AAA2.,아저씨,1
"이어 빈 살만 왕세자가 이에 동의했고, 조만간 G20 정상회의 소집하겠다고 전했다고 밝혔다.",세자,1
아저씨는 예측을 제법 잘할 수 있다는 것만으로 얼마든지 어렵지 않게 수익을 올릴 수 있다.,아저씨,1
"그렇지만 그는 ""남편과 함께 한 시간 자체가 예술이었기 때문에 후회하지 않는다""고 말했다.",남편,1
"부친 AAA1이 돌아가신 상황이어서 모친 AAA2의 이름을 평안도식 발음으로 적고, 성은 서양식으로 부친의 것을 표기한 것으로 보인다.",부친,1
아저씨가 앞에 나왔던 부분 집합 도표를 따라하면 우리는 다음의 관계 도표를 볼 수 있다.,아저씨,1
형이 모든 임차인분들한테 일괄적으로 메일을 보냈거든요.,형,1
형이 좀 옆에 따놓은 거 아시죠?,형,1
또 자신을 '아저씨의 연인'이라고 표현한 작곡가 레너드 번스타인과 영화감독이자 오페라 연출가인 루키노 비스콘티와 프랑코 제피렐리 등의 편지도 눈길을 끌고 있다.,아저씨,1
최근 발레아 다눌루이 지역에서는 부모가 외국에 나가 돈을 버는 12세 소년 가장이 외로움을 견디다 못해 스스로 목숨을 끊어 현지 언론이 들끓기도 했다.,소년,1
아버님께 감사하셔야 되요. 너무 보험 잘 가입하셨어요.,아버님,1
블루 하이웨이에서는 아내와 직업 모두를 잃은 AAA가 미국 대륙의 횡단을 자신의 미래를 위해 새롭게 목표를 세우는 기회로 이용한다.,AAA,1
오빠의 이름은 AAA며 저의 회사인 BBB에 대해 조금이나마 말씀드려 보고자 합니다.,오빠,1
아들의 욕망은 억압당하고 어머니를 대체할 수 있는 만족의 대상을 찾는 것으로 이어진다.,아들,1
"고객님, 오빠가 카운터로 안내해 드릴 테니 저를 따라오세요.",오빠,1
본고에서는 삼신삼세불 보다 모두 통용될 수 있는 삼불이라는 명칭으로 설정하고 자한다.,삼신삼세불,1
좋은 아침입니다. 형의 이름은 AAA1에요.,형,1
서아프리카 시에라리온에서 최근 귀국한 일본인 30대 남성(도쿄 거주)이 에볼라 바이러스에 감염됐을 가능성이 있어 검사를 받았지만 음성으로 나타났다고 일본 후생노동성이 29일 밝혔다.,남성,1
토니 블레어 전 영국 총리의 부인 셰리 블레어 여사는 얼마 전 런던 메이패어 아트 갤러리에 들러 30년 전 그려진 자신의 누드화를 감상하고 갔다.,토니 블레어,1
모찌가 전 아내와의 사이에서 낳은 2살배기 아들이 들러리를 섰다.,모찌,1
부인 메건 마클(37) 왕자비와 3개월 된 첫째 아들 아치도 동했했다.,아치,1
만약 저희 회사에 관심이 있으시고 더 많은 정보를 알고 싶으시다면 오빠에게 연락 주시기 바랍니다.,오빠,1
그리고 오빠가 보내드린 관련 기록을 참고해서 판단을 해주시기 바랍니다.,오빠,1
"원 감독은 사라사테의 '치고이너바이젠'을 연주해 뜨거운 박수를 받았으며, 김송미는 아리랑과 푸치니 오페라 '잔니 스키키' 가운데 '오 사랑하는 나의 아버지'를 아름답게 소화했다.",아버지,1
"가족 중 아버지와 여동생이 우울증 병력이 있었고, 친할머니와 외삼촌이 뇌졸중 병력을 가지고 있었다.",아버지,1
누군가 아저씨를 믿는다며 비밀을 들려주는 경우 아저씨는 개인적이고 사적인 무언가의 긴밀한 공유를 하게 된다.,아저씨,1
그래서 오늘은 오빠가 좀 차려드리고 싶어서.,오빠,1
"점수가 안 나와도 마음이 편한데, 남성이 잘 못하여 팀원들에게 민폐를 끼치는 것을 매우 힘들어하고 있었다.",남성,1
운동에 미친놈이네.,미친놈,1
그래서 오빠의 상품을 이미 배송해 주셨는지 확인하고 싶습니다.,오빠,1
> 형이 이겼어요?,형,1
형이 현재 학생들을 가르치는 교과서에도 이들의 관계를 이렇게 표현하고 있어요.,형,1
아저씨는 그 문제를 해결할 수 없다면 원에 영역이 있다고 주장할 자격이 없다.,아저씨,1
"이어서 예비 회담 합의가 한일 우호의 이정표가 될 것이라고 하며, 본 회담에 임하는 AAA 남성의 마음가짐에 대해서 다음과 같이 말하고 있다.",남성,1
아저씨는 멀리서 기차가 다가오는지 미리 알기 위해서 철로에 귀를 대기도 한다.,아저씨,1
"아빠의 존재는 AAA 1에게 AAA 2의 가사처럼 엄마에게 폭력을 행사하는 ""야만인 잔인한 사람""으로 비친다.",사람,1
"일곱 살 때부터 아버지 AAA 1, 조부 AAA 2를 따라 모고사무 공연을 배우면서 서당에서 공부를 하였다.",AAA 2,1
왜인지 흥부 부인과 자녀들은 놀부인 걸 알아채지 못하는데 그 이유는!,놀부,1
"AAA는 남편이 있는 필리핀으로 돌아가지 않기 위해 캐나다 이주를 적극적으로 준비했고, 결국 돌봄 노동자로 취업하여 지금은 캐나다로 이주한 상태이다.",남편,1
사실 관계 임야의 원래의 소유자인 AAA1은 그 처 AAA2와의 사이에 아들이 없어 9촌 조카인 AAA3을 데려와 양자로 삼았으나 입양 신고를 하지 아니하고 입양 신고에 갈음하여 친생 장남으로 출생 신고하였다.,AAA3,1
형이 메일을 보면서 지인과 함께 차근차근 설치해 보도록 하겠습니다.,형,1
아저씨의 주문에 대해 알려드릴 사항이 있어 연락 드립니다.,아저씨,1
"일반적으로, 아저씨가 가수에 쓰는 자릿수는 아저씨가 얼마나 정확하게 그것을 안다고 주장하는 가를 나타낸다.",아저씨,1
미국 버지니아 주 랭리에 있는 미 중앙정보국의 사설 박물관에 새로 전시된 작품 중에는 아버지가 세 살배기 아들에게 보낸 이런 내용의 편지가 있다.,아버지,1
>만약에 형이 소개팅을 해준다 하면 만나볼 의향이 있을까?,형,1
그는 존의 동거녀 아들이고 다만 존의 분노에 감염되었거나 혹은 그저 분노를 모방할 따름이다.,아들,1
"그러면서 ""한국군이 다른 마을로 사라진 뒤 아버지를 찾아 헤맨 마을은 처참했다""며 ""마을 사람들 74명이 죽었는데 대부분 여성과 아이들, 민간인이었다""고 울먹였다.",아버지,1
"형, 이 정도면 하나 사야지.",형,1
>형이요?,형,1
혹시 형에게 소개시켜 주시겠다는 말씀도 기억나시죠?,형,1
하지만 오빠의 스케줄이 그런 큰 프로젝트를 진행하기에는 현재로선 불가능한 상태입니다.,오빠,1
아저씨의 추가 투자를 요청하고 싶습니다.,아저씨,1
>당연하지 때 진숙이 형이 형 저 기억하세요 이러니까 형이 실눈 뜨면서.,형,1
"남자는 우주 알로 인해 미래를 볼 수 있는 능력을 지니고 있고, 심지어 자신의 죽음마저 예견할 수 있다.",남자,1
"AAA는 2016년 6월, 경기도 수원에서 분교장으로 3학년 때 정선이(당시 1학년)와 형(당시 6학년) 같이 전학 왔다.",형,1
여배우와 스캔들을 일으킨 프랑수아 올랑드 프랑스 대통령이 동거녀 발레리 트리에르바일레와 헤어지고서 '독신남 대통령'으로 새 출발을 한다.,독신남,1
안전하게 벽을 빠져 나온 뒤 다시 아저씨는 자신이 원하는 색으로 되돌아올 수 있다.,아저씨,1
남자친구가 책임을 진다고 해도 어차피 상하는 건 내 몸이다.,내,1
오빠가 폴리스티렌과 우레탄을 소매가로 판매하는 것을 어떻게 아셨나요?,오빠,1
"순흥은 최초의 경기체가 ""죽계별곡""을 지은 안축의 고향이며, 소수서원, 한국선비문화수련원 등 유교적 양반 남성의 삶을 체험할 수 있는 곳이다.",남성,1
>이 정도면 형 한 90살은 돼야 그냥 편하게 사가지고 그때 잘 잘 수 있겠네.,형,1
괜찮으시다면 형이 묵을 숙박 예약을 도와주실 수 있을까요.,형,1
오빠가 또 얼마나 서포트를 했는지.,오빠,1
마흔살에 연이어 부모의 상을 치르고 형제를 연거푸 잃고서는 막막함에 세상을 살아갈 뜻을 잃었다.,형제,1
형이 무엇을 베푼다면 그들도 어떤 식으로든 형에게 선물을 주게 되죠.,형,1
"단, 형이 오하이오 주로 출장 가기 전이어야 합니다.",형,1
형이 주문한 상품의 배송 상황을 상기시켜드리고자 연락드립니다.,형,1
아저씨는 당연히 식당을 통제 불능으로 거절하는데 시간을 덜 써야 한다.,아저씨,1
AAA4님이 오빠에게 귀하의 연락처를 전해 주셨습니다.,오빠,1
오빠가 사무실에 없는 동안 저와 진행했던 업무에 대한 연락은 팀장님께 하시면 됩니다.,오빠,1
아저씨께서 주신 공기주입 펌프를 빨리 받아보시길 요청하는 메일을 잘 받아 보았습니다.,아저씨,1
평소 알고 지내던 X생명 보험 회사 소속 모집인인 갑에게 아들을 위한 보험 계약을 문의하였다.,아들,1
이 프로젝트의 핵심 요원으로서 아저씨가 이 행사에 참석하실 수 있기를 바랍니다.,아저씨,1
"데이비드 킬리언 유네스코 주재 미국대사는 이번주 초 보코바 사무총장에게 서한을 보내 ""미국은 이 문제를 해결하려는 아저씨의 노력을 지지하지만, 일단 시상계획을 연기하고 해법을 찾는 시간을 갖기를 바란다""고 요구했다.",아저씨,1
오빠의 웹사이트의 페이지 수는 얼마나 되죠?,오빠,1
구매 고객 리스트에서 아저씨가 저희 회사의 제품을 자주 구매하시는 것을 알게 되었습니다.,아저씨,1
>아버님은 소금 찍어 드실 것 같은데.,아버님,1
">그런데 다른 것보다 음악이 뭔지 봤어요, 지금 석진이 형?",석진이,1
한 프로그래머는 소스 코드에 대해 그가 알고 있는 모든 지식을 그의 저서에 상세히 적었다.,프로그래머,1
오시는 분들을 형이 계속 봤더니 해물을 안 좋아하는 사람도 있고요.,형,1
오늘 오후에 오빠가 시간이 괜찮아요.,오빠,1
관습 나이 16세로부터 20세를 지낸 1941년부터 1945년까지의 대동아(태평양)전쟁에 따른 위문대 활동을 AAA는 아버지에게 혹독하게 훈련을 받았던 시기로 포장했던 것이다.,아버지,1
아저씨는 n을 증가시키면 가깝게 분포되어 있는 수많은 값들의 평균값을 계산하게 된다.,아저씨,1
>이거 하러 온 거야 형.,형,1
아마도 모든 일처리를 마무리 하기 위해 오빠가 사무실에 있어야 할 것 같습니다.,오빠,1
"아저씨가 불가능 한 것을 모두 제거하고 나면, 남은 것들은 아무리 불가능해도 진실한 것이다.",아저씨,1
아저씨께 저희의 운동기구를 제공해 드리게 되어 매우 설렙니다.,아저씨,1
">왜 웃어요, 오빠?",오빠,1
지난번에 향후 주문에 대해 오빠가 최선을 다해 할인해 드리겠다고 했던 것 기억하시나요?,오빠,1
이 초상화는 파치올리의 후원자인 우르비노 공작의 아들 구이도발도로 알려진 젊은이에게 기하를 가르치고 있는 모습을 그린 것이다.,아들,1
AAA1 정권기에 들어와서는 아버지 AAA2의 사망으로 AAA2의 사망일과 사망 후 2012년 2월 14일에 공화국 대원수 칭호 수여일이 추가되었다.,아버지,1
"네, B양, 제품이 무엇인지에 대한 더 깊은 통찰력을 제공하기 위해 제품이 어떻게 만들어지는지 실제 시연보다 더 나은 것은 없습니다.",B,1
"원경하의 ""창하집"" 초간본 아들 원인손이 전라도 관찰사로 재직 중이던 1767년경 간행했다.",아들,1
나는 클라이언트가 쓰고 있는 아동용 도서를 위해 오빠의 그림에 대해서 발표합니다.,오빠,1
보건당국은 서아프리카에서 돌아온 지 21일이 안 된 한 남성 의사가 39.4도의 고열 증상을 보여 맨해튼 동북부에 위치한 할렘 자택에서 응급차에 실려 인근 BBB 병원으로 긴급 이송됐다고 설명했다.,남성,1
"우리의 장기적인 목표를 확실히 하기 위해서, 저는 아저씨의 제안을 거절할 수밖에 없습니다.",아저씨,1
동무가 살던 시골로 간 주인공은 그의 어머니에게 믿음직스러운 아들의 자리를 채워주려는 여러 일을 돕기 시작한다.,주인공,1
그 후 상진왕은 대리 왕자를 대장으로 하여 구미도의 신녀인 기미하에(군남풍)와 함께 정예 부대 3000명과 병선을 보내 진압하였다.,상진왕,1
저는 영국에 살고 있는 50대 남성입니다.,남성,1
"아버지는 아들들에게 백만 달러와 일만 달러, 그리고 가능한 분배 결과를 남겼다.",아버지,1
"나는 AAA1, 너는 Mr. AAA2 맞지?",너,1
이건 오빠가 설명하는 것보다 그림으로 보여 드리는 게 빠를 것 같네요.,오빠,1
"계약에서 명시하고 있는 것과 같이, 아저씨께서는 200개의 수납장을 저희에게 운송해 주셨어야 했습니다.",아저씨,1
아저씨의 조문에 다시 한번 감사의 인사를 드립니다.,아저씨,1
"필리핀으로 돌아온 지 일 년도 안돼 다시 쿠웨이트와 두바이에서 각각 2년 동안 가사노동자로 일하다가, 2003년부터 둘째 오빠인 AAA가 일하고 있는 이스라엘로 왔다.",오빠,1
우리는 살아가면서 어떤 질문을 마음에 품고 살아가며 또 아저씨는 살아가나요?,아저씨,1
AAA 교수는 전화 인터뷰 도중 누군가 부른 탓에 남편에게 수화기를 넘겼다고 한다.,남편,1
